# Time-averaged data for fix PEAve
# TimeStep v_PotEn
105400 -20113
105500 -20072.3
105600 -20053.4
105700 -20049.9
105800 -20035.4
105900 -20036.9
106000 -20035.7
106100 -20034.3
106200 -20073.1
106300 -20119.9
106400 -20136.4
106500 -20113.8
106600 -20057.6
106700 -20037.5
106800 -20064.4
106900 -20095.1
107000 -20094.2
107100 -20077.6
107200 -20064.3
107300 -20058
107400 -20095.4
107500 -20070.2
107600 -20034
107700 -20019.1
107800 -20033.6
107900 -20077.4
108000 -20048.4
108100 -20061.2
108200 -20088.2
108300 -20111.5
108400 -20108
108500 -20069.4
108600 -20035.1
108700 -20030.3
108800 -20035.3
108900 -20061.2
109000 -20044.3
109100 -20017.2
109200 -20006.7
109300 -19941.1
109400 -19923
109500 -19935.8
109600 -19983.5
109700 -20019.2
109800 -20070.8
109900 -20073
110000 -20086.4
110100 -20060
110200 -20001.9
110300 -19955.1
110400 -19998.4
110500 -20051.2
110600 -20057.6
110700 -20034.7
110800 -20006
110900 -19948
111000 -19940.6
111100 -19872.3
111200 -19808.4
111300 -19864.3
111400 -19927
111500 -19982
111600 -20019.4
111700 -20046.8
111800 -20042.3
111900 -19991.3
112000 -19967.6
112100 -19958.4
112200 -19995
112300 -20049.3
112400 -20051
112500 -20063.8
112600 -20085.6
112700 -20031.6
112800 -20015.5
112900 -20036.5
113000 -20103.2
113100 -20090.5
113200 -20058.1
113300 -20033
113400 -20031.3
113500 -20025.6
113600 -20070.6
113700 -20100.6
113800 -20077.7
113900 -20027.3
114000 -19993.4
114100 -20005.5
114200 -20059.9
114300 -20073.4
114400 -20079.6
114500 -20095.3
114600 -20032.5
114700 -20038.4
114800 -19951.9
114900 -19927.1
115000 -19968.2
115100 -20014.6
115200 -20024.2
115300 -20008.3
115400 -19977.9
115500 -19895.3
115600 -19998
115700 -20009.7
115800 -20029.8
115900 -20004.4
116000 -19992.4
116100 -19995.2
116200 -20052.2
116300 -20073.5
116400 -20073.3
116500 -20031
116600 -19981.7
116700 -19980.8
116800 -20015.8
116900 -20089.7
117000 -20118.1
117100 -20159.5
117200 -20182.5
117300 -20203.6
117400 -20136.1
117500 -20025.7
117600 -20024.9
117700 -20023.2
117800 -20047.3
117900 -20143
118000 -20179.8
118100 -20143.2
118200 -20141.8
118300 -20091.2
118400 -20069.6
118500 -20028.3
118600 -20064
118700 -20128
118800 -20146.8
118900 -20107.7
119000 -20075.5
119100 -20059.6
119200 -20044.9
119300 -20003.5
119400 -19985.8
119500 -19982.8
119600 -20057.2
119700 -20108.9
119800 -20115.1
119900 -20091.5
120000 -20045.4
120100 -20052.8
120200 -20104.5
120300 -20084.7
120400 -20034.7
120500 -20046.1
120600 -20057.6
120700 -20091.9
120800 -20131.2
120900 -20074.2
121000 -20096
121100 -20084.8
121200 -20079.2
121300 -20005.5
121400 -19970.2
121500 -20009.1
121600 -20071.2
121700 -20091.3
121800 -20136.5
121900 -20146.4
122000 -20139.1
122100 -20080.2
122200 -20018.6
122300 -20031.9
122400 -20074.5
122500 -20100.5
122600 -20116.7
122700 -20071.7
122800 -20036.3
122900 -20064.5
123000 -20053.5
123100 -20060.1
123200 -20052.2
123300 -20029.1
123400 -20019.4
123500 -20019.3
123600 -20044.1
123700 -20060.6
123800 -20054.2
123900 -20038.6
124000 -20021.4
124100 -20007.3
124200 -19954.1
124300 -19967.4
124400 -20040.7
124500 -20040.6
124600 -20010.6
124700 -19996.8
124800 -19970.1
124900 -19996.3
125000 -20008.5
125100 -19988.2
125200 -19958.2
125300 -19944.4
125400 -19944.9
125500 -19954.6
125600 -19996
125700 -20009.6
125800 -19965.9
125900 -19891.8
126000 -19844.8
126100 -19893.7
126200 -19899.6
126300 -19988
126400 -20014.2
126500 -20084.8
126600 -20083.3
126700 -20113.1
126800 -20086
126900 -20028.3
127000 -20025.2
127100 -20069.6
127200 -20117.4
127300 -20149.8
127400 -20130.5
127500 -20012.2
127600 -20027.7
127700 -20038.6
127800 -20040.8
127900 -20060.9
128000 -20014.9
128100 -19957.1
128200 -19932.2
128300 -20006.5
128400 -20044.6
128500 -20049.3
128600 -20064.1
128700 -20039.5
128800 -20045.4
128900 -20038.6
129000 -19972.3
129100 -19953.8
129200 -20010.1
129300 -20007.9
129400 -20057.3
129500 -20058
129600 -19988.3
129700 -19942.2
129800 -19996.9
129900 -20002.5
130000 -20017.6
130100 -20026.9
130200 -19999.1
130300 -19978.4
130400 -19936.1
130500 -20043.4
130600 -20048.9
130700 -20036.2
130800 -20023.8
130900 -20007.1
131000 -19993.7
131100 -20059.8
131200 -20102.9
131300 -20058.1
131400 -20037
131500 -20015.5
131600 -20028.9
131700 -19983.7
131800 -20000.8
131900 -19952.9
132000 -19948.7
132100 -20008.8
132200 -20040.2
132300 -20019.1
132400 -19935.6
132500 -19890.7
132600 -19923
132700 -19974.2
132800 -20001.6
132900 -20001.6
133000 -19967.2
133100 -19922.9
133200 -19972.2
133300 -19959.8
133400 -20016.6
133500 -20009.7
133600 -20033.7
133700 -19998.5
133800 -19995.6
133900 -20053.5
134000 -20043.4
134100 -20040.3
134200 -19984.8
134300 -19989.9
134400 -20007.3
134500 -20025.9
134600 -20057
134700 -20058.8
134800 -20056.8
134900 -20045.3
135000 -20016.6
135100 -20043.1
135200 -20001.3
135300 -19936.6
135400 -20003.7
135500 -20063.5
135600 -20062.6
135700 -20057.2
135800 -20027.4
135900 -20021.7
136000 -20040.6
136100 -20037.3
136200 -20052.3
136300 -20023.8
136400 -20001.1
136500 -20022.2
136600 -20085.9
136700 -20054.6
136800 -20023.9
136900 -20041.8
137000 -20071.8
137100 -20055.1
137200 -20024.2
137300 -20001.7
137400 -20011.7
137500 -20011.8
137600 -20031.8
137700 -20014.8
137800 -19990.5
137900 -19935.2
138000 -19981.2
138100 -20036
138200 -20077.3
138300 -20053.2
138400 -20051.7
138500 -20010.4
138600 -20038.2
138700 -20064.8
138800 -20065
138900 -20075
139000 -20037.2
139100 -20002.9
139200 -19979.9
139300 -20054.8
139400 -20018.2
139500 -20027.5
139600 -19968.6
139700 -19994.8
139800 -20018.6
139900 -20034.9
140000 -20019.5
140100 -20051.6
140200 -19988.6
140300 -19966.8
140400 -19896.4
140500 -19950.8
140600 -19968.5
140700 -20004.4
140800 -20004.8
140900 -20004.4
141000 -19985.1
141100 -20028.3
141200 -20047
141300 -20057.6
141400 -19993.6
141500 -19956.5
