# Radius 	finiterdf__met_met	rdf__met_met	finiterdf__met_wat	rdf__met_wat	finiterdf__wat_wat	rdf__wat_wat	
4.47667 1.22991	1.22967	1.14713	1.14645	1.14401	1.14575	
4.4928 1.23784	1.23761	1.15325	1.15259	1.14673	1.14848	
4.50894 1.24706	1.24684	1.15852	1.15786	1.14906	1.15083	
4.52507 1.25495	1.25474	1.16316	1.1625	1.1522	1.15397	
4.5412 1.262	1.26181	1.1681	1.16744	1.15535	1.15713	
4.55733 1.26986	1.26968	1.17295	1.17231	1.15686	1.15866	
4.57347 1.2758	1.27564	1.17655	1.17591	1.15898	1.16079	
4.5896 1.28165	1.2815	1.17959	1.17896	1.16105	1.16287	
4.60573 1.28762	1.28748	1.1815	1.18088	1.16215	1.16398	
4.62186 1.29117	1.29105	1.18428	1.18366	1.16294	1.16478	
4.63799 1.29446	1.29436	1.1855	1.1849	1.16338	1.16523	
4.65413 1.29646	1.29638	1.18684	1.18624	1.16295	1.16481	
4.67026 1.30143	1.30136	1.18713	1.18655	1.16617	1.16805	
4.68639 1.30111	1.30106	1.1877	1.18712	1.1648	1.16668	
4.70252 1.30241	1.30238	1.18709	1.18653	1.16558	1.16747	
4.71866 1.30405	1.30404	1.18706	1.18651	1.16455	1.16645	
4.73479 1.3039	1.30391	1.18534	1.1848	1.1641	1.16601	
4.75092 1.30346	1.30349	1.18316	1.18263	1.16411	1.16603	
4.76705 1.30163	1.30168	1.18081	1.18029	1.16164	1.16356	
4.78318 1.30025	1.30032	1.17837	1.17786	1.1608	1.16273	
4.79932 1.2996	1.29969	1.17505	1.17456	1.15957	1.16151	
4.81545 1.29658	1.29669	1.17178	1.1713	1.15612	1.15806	
4.83158 1.29428	1.29441	1.1684	1.16792	1.15489	1.15683	
4.84771 1.29246	1.29261	1.16431	1.16385	1.15416	1.15611	
4.86384 1.28922	1.28938	1.15955	1.1591	1.15089	1.15285	
4.87998 1.28448	1.28467	1.15474	1.1543	1.14719	1.14915	
4.89611 1.28066	1.28086	1.15013	1.14971	1.14552	1.14749	
4.91224 1.2768	1.27702	1.14413	1.14372	1.14263	1.1446	
4.92837 1.27029	1.27052	1.13912	1.13871	1.13847	1.14044	
4.94451 1.26662	1.26687	1.13368	1.13329	1.13546	1.13743	
4.96064 1.2623	1.26256	1.12707	1.12668	1.13097	1.13294	
4.97677 1.25622	1.25651	1.12105	1.12067	1.12776	1.12973	
