# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P
34500 -16092.3 -19969.2 300.209 -60.3481
34600 -15987.9 -19932.6 305.463 -159.193
34700 -16017.9 -19957.5 305.067 -92.8431
34800 -16126.1 -19984.1 298.753 96.7865
34900 -16167.6 -20010 297.541 80.0121
35000 -16179.6 -19996.7 295.581 -0.700351
35100 -16139.1 -20005.5 299.397 -6.59126
35200 -16099.7 -19948.8 298.056 149.393
35300 -16022.7 -19930 302.562 -90.7112
35400 -16017.8 -19932.6 303.147 -3.82919
35500 -16146.6 -20018.1 299.794 113.296
35600 -16210.7 -20073.5 299.122 -112.467
35700 -16262.3 -20105.4 297.599 87.5348
35800 -16309.3 -20127.5 295.664 76.0705
35900 -16315.5 -20132.6 295.579 -68.1112
36000 -16223 -20083.8 298.964 192.188
36100 -16163.1 -20046 300.684 -52.596
36200 -16176.6 -20048.8 299.853 201.587
36300 -16259.9 -20083 296.043 102.468
36400 -16319.6 -20086.2 291.668 163.891
36500 -16267.8 -20113 297.763 100.672
36600 -16236.1 -20078.6 297.549 -2.90121
36700 -16206.4 -20034.6 296.435 -12.6966
36800 -16116.7 -20026.9 302.792 495.253
36900 -16095.5 -19968.7 299.921 356.249
37000 -16214.4 -20059.2 297.725 56.7083
37100 -16296 -20125.3 296.525 58.1557
37200 -16280.1 -20098.1 295.654 -48.4125
37300 -16209.3 -20064.6 298.538 180.348
37400 -16157.3 -20057.4 302.011 205.112
37500 -16203.2 -20029.6 296.301 51.9767
37600 -16310.7 -20095.5 293.077 -36.6293
37700 -16346.8 -20173.5 296.326 55.3558
37800 -16272.5 -20114.5 297.513 48.1021
37900 -16163.1 -20053.6 301.269 -15.0853
38000 -16160.8 -20014.4 298.413 77.4138
38100 -16179.5 -20032.1 298.334 123.034
38200 -16204.2 -20034.7 296.617 77.2612
38300 -16256.5 -20095 297.235 68.9307
38400 -16327.8 -20123.3 293.907 -52.6253
38500 -16303.8 -20123.7 295.799 89.76
38600 -16199.1 -20066.4 299.467 43.2813
38700 -16163.8 -20025.3 299.018 143.303
38800 -16176.3 -20050.9 300.035 1.88746
38900 -16221.5 -20043.3 295.945 -26.2482
39000 -16216.6 -20033.1 295.535 -46.5842
39100 -16085 -19955.2 299.693 -64.1844
39200 -16060.3 -19990.1 304.313 -84.3212
39300 -16161.9 -20023.8 299.045 171.247
39400 -16225.7 -20046.8 295.888 72.1972
39500 -16207.1 -20020.3 295.278 -146.075
39600 -16129.4 -20010.7 300.546 101.724
39700 -16117.2 -19990.7 299.945 293.402
39800 -16163 -20003.9 297.425 23.3553
39900 -16299.6 -20082.1 292.907 -67.0692
40000 -16346.4 -20132 293.144 -73.3659
40100 -16281.9 -20106.4 296.155 -167.567
40200 -16198.7 -20020.5 295.951 -246.85
40300 -16139.7 -20001.4 299.039 -244.889
40400 -16142.9 -20043.6 302.05 -234.426
40500 -16215.3 -20043.3 296.425 -90.0529
40600 -16230.9 -20052.4 295.922 -140.39
40700 -16210.1 -20063.4 298.386 -83.0847
40800 -16210.1 -20066.2 298.6 -27.683
40900 -16235.5 -20072.9 297.155 170.104
41000 -16320.9 -20132.5 295.154 65.4578
41100 -16365.9 -20166.3 294.287 95.1337
41200 -16310.2 -20130.3 295.812 222.604
41300 -16194.4 -20056.8 299.095 18.2677
41400 -16173.4 -20028.8 298.549 9.01679
41500 -16180.2 -20031.6 298.236 106.708
41600 -16199.6 -20047.1 297.94 36.3612
41700 -16259.9 -20059.8 294.252 82.8854
41800 -16280.3 -20100.7 295.838 43.5449
41900 -16215.7 -20070 298.465 29.9701
42000 -16132.8 -19996.8 299.216 4.71745
42100 -16113.7 -20004.4 301.276 -12.4702
42200 -16194.9 -20040.1 297.762 289.842
42300 -16303.4 -20067.2 291.453 97.2911
42400 -16263.6 -20084.6 295.881 -38.6708
42500 -16191 -20001.4 295.063 125.042
42600 -16111.5 -19998 300.952 44.6294
42700 -16116.4 -19986.4 299.676 74.0813
42800 -16169.8 -20004.2 296.919 111.579
42900 -16250.4 -20056.9 294.763 62.193
43000 -16362.9 -20145 292.874 -27.6658
43100 -16373.6 -20174.4 294.318 -174.818
43200 -16246 -20073.4 296.377 -105.79
43300 -16171.5 -20004.7 296.828 150.18
43400 -16134.3 -20007.8 299.951 128.108
43500 -16131.3 -20006.8 300.11 140.125
43600 -16186.9 -20017.3 296.612 217.802
43700 -16243.9 -20034.3 293.515 -116.321
43800 -16187 -20025.6 297.251 119.066
43900 -16092.3 -19983.5 301.322 69.9863
44000 -16103.6 -19972.3 299.573 -55.4842
44100 -16150.5 -19995 297.704 79.7555
44200 -16196.4 -20021.7 296.214 58.5023
44300 -16251.8 -20057.4 294.691 -51.9938
44400 -16300.8 -20052.7 290.535 86.4063
44500 -16207.6 -20032.3 296.173 201.194
44600 -16133.5 -19974.9 297.463 80.565
44700 -16084.9 -19931.2 297.845 362.413
44800 -16037.8 -19921.9 300.766 209.349
44900 -16035.4 -19920.7 300.865 159.049
45000 -16150.3 -19989.2 297.265 94.1225
45100 -16210.1 -20041.2 296.662 42.8077
45200 -16220.5 -20072.3 298.264 140.53
45300 -16222.7 -20034.6 295.18 66.4986
45400 -16157.5 -20004.1 297.869 75.7894
45500 -16074.6 -19982.5 302.613 155.958
45600 -16110.1 -19983.5 299.938 90.2733
45700 -16160.7 -19956.1 293.899 -263.333
45800 -16128.1 -19943.6 295.458 -21.64
45900 -16090.9 -19935.7 297.728 -22.5046
46000 -16074 -19931.8 298.736 105.691
46100 -16100.8 -19985.1 300.79 194.194
46200 -16218.6 -20037.5 295.721 -40.6957
46300 -16236.6 -20040 294.515 -132.049
46400 -16198.6 -20058.3 298.877 65.765
46500 -16159.3 -19992.6 296.837 -94.7069
46600 -16053.6 -19971.2 303.364 168.337
46700 -16033.8 -19911.3 300.254 77.0324
46800 -16064 -19951.3 301.017 39.2489
46900 -16111.7 -19994 300.631 181.355
47000 -16172.7 -20007.6 296.955 106.687
47100 -16201.5 -20047.1 297.785 199.455
47200 -16219.4 -20048.3 296.488 132.18
47300 -16215.6 -20043 296.375 106.015
47400 -16159.8 -19989.2 296.53 142.244
47500 -16083.7 -19990.6 302.537 290.55
47600 -16102.7 -19946.1 297.624 -11.7101
47700 -16149.2 -19981.1 296.732 136.204
47800 -16230 -20027.5 294.068 -25.724
47900 -16298.2 -20126.6 296.451 87.1554
48000 -16335.2 -20139.6 294.596 -64.102
48100 -16276.3 -20095.7 295.754 54.0904
48200 -16181.9 -20051.4 299.64 239.571
48300 -16162.7 -20052.4 301.204 249.053
48400 -16219.9 -20070.5 298.177 -69.0258
48500 -16307.6 -20120.2 295.235 144.632
48600 -16319.8 -20126 294.736 25.2499
48700 -16279.8 -20071.4 293.606 -39.4607
48800 -16223.1 -20055.4 296.758 44.1745
48900 -16178.2 -20022.6 297.7 -82.8282
49000 -16132.3 -20026.1 301.525 204.124
49100 -16173.3 -20034.8 299.021 191.371
49200 -16281.8 -20090.7 294.949 -19.0268
49300 -16281.2 -20112.1 296.651 31.4071
49400 -16249.6 -20097.9 298 38.5504
49500 -16189.4 -20012.8 296.073 131.26
49600 -16065.5 -19960.4 301.611 132.454
49700 -16069 -19952.9 300.755 1.5982
49800 -16138.5 -19986.6 297.98 3.01716
49900 -16208.9 -20072.2 299.16 54.9704
50000 -16259.2 -20083.7 296.155 -22.023
50100 -16276.6 -20124.1 297.934 43.1293
50200 -16270.1 -20093.9 296.095 11.4888
50300 -16244.9 -20093.8 298.042 -67.2346
50400 -16227 -20096.5 299.643 -68.0367
50500 -16245.1 -20051.3 294.738 -122.076
50600 -16220.7 -20010.4 293.463 -251.056
50700 -16102.8 -19946.1 297.617 313.828
50800 -16060.6 -19941.2 300.499 158.129
50900 -16110.6 -20010 301.957 -12.579
51000 -16203.6 -20021 295.604 -105.237
51100 -16209.6 -20032.5 296.034 37.0125
51200 -16172.7 -20046.9 300.004 86.8474
51300 -16131 -20000.2 299.618 87.9007
51400 -16055.4 -19968.2 302.989 142.826
51500 -16077.1 -19962.1 300.839 134.885
51600 -16185.8 -20038 298.296 78.9439
51700 -16229.9 -20044.8 295.414 -18.8983
51800 -16199 -20059.3 298.927 -32.4592
51900 -16162.4 -19997.2 296.948 -133.019
52000 -16057.2 -19953.3 301.695 -52.9255
52100 -16020.4 -19909.6 301.163 -176.588
52200 -16068 -19935.7 299.499 -1.21215
52300 -16112.1 -19949.9 297.178 -112.867
52400 -16124.4 -19995.5 299.765 -36.0855
52500 -16142.6 -19969 296.302 -129.134
52600 -16120.3 -19965.4 297.753 -181.361
52700 -16086.3 -19964 300.273 -37.9091
52800 -16091.4 -19973.6 300.618 7.88211
52900 -16165.6 -20007.7 297.517 -25.2438
53000 -16236.5 -20070.4 296.878 -174.691
53100 -16257.7 -20056.8 294.186 -314.385
53200 -16172.4 -19982.6 295.045 -8.65186
53300 -16090.6 -19967.2 300.189 -28.9818
53400 -16099 -19979.7 300.504 -29.6773
53500 -16180.3 -20042 299.036 -9.42286
53600 -16240 -20058.4 295.68 -101.907
53700 -16217.1 -20031.1 295.338 -68.1529
53800 -16160.4 -20014.4 298.435 -40.3385
53900 -16132.4 -19985.1 298.342 -106.042
54000 -16122.2 -19970.7 298.013 -105.37
54100 -16132.2 -20023.7 301.34 -316.376
54200 -16197.5 -20045.6 297.989 -208.832
54300 -16256.3 -20102.1 297.804 -117.606
54400 -16259.4 -20049.6 293.503 -290.723
54500 -16212.6 -20035 295.996 -317.527
54600 -16164.4 -19980.9 295.534 64.365
54700 -16112.8 -19990.8 300.298 -73.7746
54800 -16125.4 -20020.9 301.657 21.4166
54900 -16222.6 -20033.1 295.071 -197.847
55000 -16237.6 -20057.2 295.778 -216.005
55100 -16226 -20112 300.916 66.6356
55200 -16274.9 -20096 295.888 -57.18
55300 -16303.2 -20099.4 293.959 -54.7298
55400 -16207.3 -20053.7 297.855 -91.8204
55500 -16141.7 -20017 300.094 61.8899
55600 -16147.5 -19990.2 297.568 -214.318
55700 -16153.8 -20005 298.222 -378.488
55800 -16203.1 -20054.8 298.261 -74.2849
55900 -16295.6 -20112.4 295.556 10.979
56000 -16313.5 -20106.1 293.684 -350.744
56100 -16235 -20078.9 297.659 -79.3846
56200 -16195.6 -20077.8 300.62 64.4926
56300 -16212.3 -20035.2 296.028 112.95
56400 -16193.8 -20041.4 297.942 -65.8893
56500 -16124.4 -19983.1 298.804 81.2938
56600 -16024.3 -19918.3 301.539 -26.4265
56700 -16019.1 -19923.6 302.346 -101.99
56800 -16071.6 -19925.3 298.415 228.566
56900 -16090.4 -19960.4 299.677 -257.716
57000 -16142.5 -20002.3 298.883 -445.848
57100 -16193.7 -20011.4 295.625 -220.878
57200 -16194.5 -20061.1 299.41 58.9232
57300 -16252.8 -20065.1 295.214 -103.166
57400 -16353.1 -20149 293.941 59.5585
57500 -16348.4 -20133 293.063 -16.5188
57600 -16251.9 -20112.8 298.977 -55.9617
57700 -16209.1 -20036.7 296.388 -210.251
57800 -16168 -20027.9 298.897 13.6883
57900 -16151.1 -20001.6 298.165 -155.704
58000 -16129.6 -19997.2 299.498 -227.375
58100 -16093.8 -19971.9 300.299 114.588
58200 -16121.2 -20008.5 301.02 -74.3492
58300 -16213.3 -20038.5 296.209 17.0965
58400 -16249.7 -20087.2 297.156 100.986
58500 -16253.8 -20073.6 295.788 -132.091
58600 -16163.4 -20045.3 300.594 -78.9999
