# Time-averaged data for fix TempAve
# TimeStep c_T
125900 299.146
126000 298.562
126100 301.701
126200 299.436
126300 296.388
126400 295.277
126500 296.157
126600 300.139
126700 303.795
126800 300.969
126900 296.878
127000 296.503
127100 299.655
127200 298.401
127300 301.217
127400 301.416
127500 299.581
127600 294.286
127700 298.56
127800 300.457
127900 297.471
128000 291.992
128100 297.775
128200 298.852
128300 298.616
128400 298.835
128500 296.911
128600 294.274
128700 292.369
128800 296.483
128900 298.531
129000 300.379
129100 299.743
129200 299.063
129300 296.213
129400 297.999
129500 294.702
129600 298.709
129700 302.072
129800 297.157
129900 297.073
130000 294.107
130100 294.611
130200 295.731
130300 300.102
130400 298.178
130500 299.428
130600 299.781
130700 298.12
130800 294.443
130900 298.842
131000 298.923
131100 299.729
131200 302.442
131300 302.027
131400 298.389
131500 296.174
131600 298.434
131700 299.598
131800 294.717
131900 297.356
132000 300.172
132100 299.96
132200 299.365
132300 295.279
132400 299.346
132500 295.088
132600 298.396
132700 302.045
132800 301.253
132900 297.947
133000 297.9
133100 299.055
133200 295.807
133300 299.311
133400 301.05
133500 298.941
133600 297.081
133700 301.094
133800 300.905
133900 297.239
134000 295.812
134100 296.147
134200 300.597
134300 303.26
134400 297.248
134500 297.486
134600 299.301
134700 300.12
134800 296.21
134900 294.027
135000 299.41
135100 301.439
135200 299.459
135300 302.091
135400 299.133
135500 294.682
135600 297.251
135700 300.829
135800 296.36
135900 296.693
136000 298.737
136100 299.142
136200 301.746
136300 301.546
136400 296.296
136500 297.234
136600 298.613
136700 301.278
136800 296.573
136900 292.462
137000 295.557
137100 298.271
137200 301.136
137300 295.312
137400 295.165
137500 300.028
137600 304.65
137700 299.12
137800 298.26
137900 293.868
138000 299.515
138100 302.452
138200 301.756
138300 296.391
138400 300.259
138500 298.114
138600 295.03
138700 292.47
138800 297.981
138900 299.026
139000 299.991
139100 297.137
139200 297.299
139300 292.956
139400 293.748
139500 299.964
139600 299.183
139700 297.691
139800 296.276
139900 296.129
140000 294.162
140100 296.239
140200 295.339
140300 298.404
140400 297.356
140500 299.936
140600 297.605
140700 294.863
140800 293.796
140900 299.141
141000 301.31
141100 298.566
141200 296.379
141300 296.872
141400 301.473
141500 300.26
141600 299.3
141700 298.834
141800 296.821
141900 294.826
142000 301.567
142100 305.753
142200 297.573
142300 297.55
142400 298.107
142500 296.332
142600 303.202
142700 299.482
142800 298.898
142900 295.233
143000 296.252
143100 299.62
143200 297.192
143300 303.573
143400 303.84
143500 299.677
143600 297.951
143700 297.687
143800 294.768
143900 292.064
144000 294.909
144100 299.345
144200 301.68
144300 296.308
144400 294.189
144500 296.151
144600 300.591
144700 297.755
144800 295.756
144900 297.161
145000 299.013
145100 304.185
145200 298.259
145300 297.325
145400 297.789
145500 298.58
145600 304.351
145700 300.967
145800 296.244
145900 293.493
146000 300.756
146100 299.272
146200 294.269
146300 291.626
146400 292.918
146500 292.199
146600 299.278
146700 298.152
146800 300.038
146900 299.651
147000 296.571
147100 294.699
147200 298.725
147300 295.757
147400 303.419
147500 301.488
147600 295.187
147700 299.091
147800 297.711
147900 295.927
148000 292.468
148100 296.511
148200 298.086
148300 297.25
148400 299.914
148500 296.838
148600 294.359
148700 291.941
148800 297.301
148900 298.335
149000 300.258
149100 296.565
149200 295.448
149300 294.046
149400 295.649
149500 297.414
149600 300.679
149700 300.096
149800 297.004
149900 294.933
150000 296.036
150100 297.508
150200 296.623
150300 296.334
150400 300.111
150500 298.517
150600 300.024
150700 296.936
150800 299.512
