# Radius 	finiterdf__wat_wat	rdf__wat_wat	finiterdf__wat_met	rdf__wat_met	finiterdf__met_met	rdf__met_met	
4.29892 1.09544	1.09706	1.05655	1.05588	1.09992	1.09962	
4.31505 1.10081	1.10244	1.06519	1.06451	1.11364	1.11334	
4.33118 1.10657	1.10822	1.07467	1.07399	1.12601	1.12571	
4.34731 1.11301	1.11467	1.08451	1.08382	1.13991	1.13962	
4.36344 1.12002	1.12169	1.09333	1.09264	1.15278	1.15249	
4.37957 1.12484	1.12653	1.10034	1.09965	1.1644	1.16412	
4.3957 1.12966	1.13136	1.10949	1.10881	1.17516	1.17488	
4.41184 1.13325	1.13497	1.11748	1.11679	1.18762	1.18735	
4.42797 1.13749	1.13921	1.12391	1.12322	1.19791	1.19765	
4.4441 1.14009	1.14183	1.1315	1.13081	1.20827	1.20801	
4.46023 1.1442	1.14595	1.13921	1.13853	1.22101	1.22076	
4.47636 1.14939	1.15116	1.14466	1.14398	1.2304	1.23015	
4.49249 1.15246	1.15424	1.15105	1.15038	1.2396	1.23937	
4.50862 1.15516	1.15695	1.15528	1.15461	1.2472	1.24698	
4.52475 1.1577	1.1595	1.1609	1.16023	1.25407	1.25386	
4.54088 1.16016	1.16198	1.16599	1.16533	1.26268	1.26249	
4.55701 1.16277	1.1646	1.17016	1.16951	1.27009	1.26991	
4.57315 1.16301	1.16485	1.17381	1.17317	1.27644	1.27628	
4.58928 1.16594	1.16778	1.17714	1.17651	1.28299	1.28284	
4.60541 1.16635	1.16821	1.1799	1.17927	1.28771	1.28758	
4.62154 1.16774	1.16961	1.18121	1.18059	1.29108	1.29097	
4.63767 1.1686	1.17048	1.1832	1.18259	1.29525	1.29516	
4.6538 1.16946	1.17135	1.18532	1.18472	1.29808	1.298	
4.66993 1.16924	1.17114	1.18551	1.18492	1.30168	1.30162	
4.68606 1.16968	1.17159	1.18518	1.1846	1.30339	1.30335	
4.70219 1.1694	1.17132	1.18363	1.18306	1.30406	1.30404	
4.71832 1.16886	1.17079	1.18407	1.18351	1.30526	1.30526	
4.73446 1.16775	1.16968	1.18246	1.18191	1.30414	1.30415	
4.75059 1.16861	1.17056	1.18026	1.17972	1.30495	1.30498	
