# Time-averaged data for fix AveAll
# TimeStep v_TotEn v_PotEn c_T c_P v_Dens
20400 -16212.3 -20112 301.984 50.4097 0.875466
20500 -16335.2 -20161.3 296.279 -46.1903 0.876326
20600 -16360.7 -20141.9 292.806 -2.78593 0.877654
20700 -16293.5 -20172.3 300.361 157.051 0.879053
20800 -16275 -20111.8 297.107 -27.3086 0.879135
20900 -16259.7 -20140.4 300.503 -37.7965 0.879396
21000 -16241.1 -20108 299.441 5.30867 0.879861
21100 -16269.9 -20181.7 302.911 -92.7157 0.880467
21200 -16364.9 -20183.3 295.686 -29.3221 0.882047
21300 -16384 -20181.3 294.049 307.549 0.883515
21400 -16306.9 -20147.2 297.376 78.0688 0.882818
21500 -16248.6 -20131.6 300.689 95.0525 0.880982
21600 -16268.3 -20132.2 299.206 32.1502 0.877906
21700 -16305.8 -20094.7 293.399 -103.853 0.874449
21800 -16234.9 -20087.7 298.344 -182.257 0.871913
21900 -16114.7 -19995.3 300.497 -16.9575 0.870701
22000 -16124.7 -19985.3 298.948 -233.156 0.869998
22100 -16161.7 -19995.5 296.881 -200.408 0.871633
22200 -16197.3 -20084.1 300.981 66.2226 0.87523
22300 -16310.9 -20120.3 294.992 244.747 0.878333
22400 -16329.1 -20153 296.108 100.886 0.879497
22500 -16272.7 -20064.4 293.616 29.5878 0.879419
22600 -16192.9 -20045.8 298.357 106.14 0.878805
22700 -16168.6 -20014.7 297.828 2.21087 0.877295
22800 -16154.4 -20028.1 299.968 19.2296 0.875307
22900 -16200.5 -20034.6 296.898 -204.683 0.87336
23000 -16284.3 -20069.8 293.132 -60.2591 0.873158
23100 -16271.7 -20100.2 296.47 103.264 0.873587
23200 -16170.2 -20052.6 300.64 -22.5515 0.873159
23300 -16127.2 -20003.6 300.179 42.5037 0.872494
23400 -16141.9 -20025.4 300.728 -161.509 0.871681
23500 -16184.7 -20035.6 298.2 -84.7172 0.872352
23600 -16205.5 -20046.8 297.449 74.941 0.874147
23700 -16216.6 -20061.3 297.715 -6.39308 0.875936
23800 -16273.2 -20104.3 296.667 394.546 0.877861
23900 -16353.3 -20162.3 294.958 42.8609 0.877066
24000 -16358.7 -20144.1 293.129 -10.2487 0.874856
24100 -16244.2 -20050.5 294.749 11.9908 0.872404
24200 -16175.1 -20002.9 296.406 21.0899 0.869643
24300 -16106.4 -19939.4 296.813 -147.347 0.866666
